"Stem","Joke","Literal"
"A committee keeps minutes and takes","hours",votes" 
"A device for finding furniture in the dark is a","shin",candle"
"A good way to blow your mind is to smoke","gunpowder",heroin"
"A man who has lost ninety percent of his brain is called a","widower",zombie"
"A problem drinker is one who never","buys",quits"
"A replacement player hit a home run with my","girl",ball"
"A thoughtful wife has pork chops ready when her husband comes home from","fishing",working"
"A vacation is the shortest distance between two","paychecks",locations"
"All roads lead to Rome, and all detours lead to","profanity",somewhere"
"Another thing a small boy is constantly outgrowing is his","allowance",underwear"
"Another thing that has developed by leaps and bounds is modern","dance",science"
"Arguments between couples are healthy; sometimes they even prevent","marriage",breakups"
"Autobiography is an unrivaled vehicle for telling the truth about","others",somebody"
"By the time Mary had her fourteenth child, she'd run out of names to call her","husband",offspring"
"Charged with statutory rape, he told the judge he didn't know she was a","statue",teenager"
"Cocktails lounges are usually half lit to match the","patrons",setting"
"Congress taxes our income, our property, and our","patience",purchases"
"Diamonds are produced by great pressure, usually provided by a","girlfriend",piston"
"Every time I wear my spring coat in the rain, it damages the","springs",fabric"
"Everyone had so much fun diving from the tree into the swimming pool we decided to put in a little","water",platform"
"Figures don't lie, except on the","beaches",page"
"For great vacation, put the kids in the back seat, and take a","cruise",freeway"
"Frequent naps prevent old age, especially when taken while","driving",relaxed"
"He asked if I'd join him in a bowl of soup, but I told him we didn't have enough","room",change"
"He got a medal for bravery on the beach when he rescued a girl from a","lifeguard",shipwreck"
"He is at the age when all the numbers in his little black book belong to","doctors",friends"
"He is probably the best boxer in the country, but he always loses in the","city",competition"
"He likes to make things around the house; this week it's the","maid",shelves"
"He owns stock in a company that pays quarterly dividends, so every three months they send him a","quarter",statement"
"He says he doesn't like to drink because it makes him feel","happy",sad"
"He told her he wasn't himself, and she said she'd noticed the","improvement",problem"
"He told me he just bought a set of balloon tires, and I told him I didn't even know he owned a","balloon",truck"
"He told me he's not broke, just badly","bent",off"
"He was teaching his girlfriend how to swim when the lifeguard made them move to the","","lake",shallows""
"He's never given a girl a present, but he did give a few a pretty good","reputation",surprise"
"He's planning an extended vacation; he hopes to spend three weeks on his","couch",sailboat"
"Her press agent was operated on for an ingrown","beeper",eyelash"
"His doctor recommended he stay flat on his back ever since he was hit by a","steamroller",motorist"
"His wife sued for divorce and asked for custody of the","cash",cat"
"I asked him if he started out as an editor, and he said that years ago he used to be a","boy",journalist"
"I asked the florist what I should give to my girlfriend, and he suggested his","address",tulips"
"I asked the woman at the party if she remembered me from last year, and she said she never forgets a","dress",name"
"I can walk on water, but I stagger on","alcohol",concrete"
"I decided to start saving for a rainy day, so I went to a savings and loan and deposited my","umbrella",pay"
"I got a car for my wife, and I thought it was a good","trade",choice"
"I hope this train stops at Grand Central because if it doesn't, there will be a","crash",delay"
"I knew a streetwalker who was so exclusive she had an unlisted telephone","booth",line"
"I know one couple who got divorced and had to leave the house to the","attorney",daughter"
"I still miss my ex-wife, but I am improving my","aim",ego"
"I went to a place that serves breakfast any time and ordered French toast in the","Renaissance",nighttime"
"I've got Parkinson's disease, and he's got,","mine",gout"
"If there's one thing that counts in business, its","bookkeepers",resources"
"If you're filthy rich, sending your kids to college is a wonderful,","cleaner",luxury"
"In some marriages the bride is given away by the","press",family" 
"In the game of golf, nothing counts as much as your","opponent",drives"
"It's always nicer to give than to receive, especially when its your","opinion",parents"
"It's extraordinary what fine poker hand you get when you're playing","bridge",stud"
"It's hard to raise a family nowadays, especially in the","morning",country"
"It's not hard to meet expenses; they're","everywhere",affordable"
"Last Thanksgiving my wife spent all morning in the kitchen stuffing the","kids",bird"
"Love has its benefits, and they are usually called","alimony",memories"
"Many a freshman helps the college of his choice by becoming a","dropout",member"
"Many a man's idea of a vacation is to rest quietly in the shade of a","blonde",palm"
"Many things run in families, especially","noses",strength"
"Modern science is amazing: garbage is now being made into","movies",gasoline"
"Most of the people running for office are not politicians; they're","commuters",candidates"
"My brother-in-law enjoys fixing things around the house so much he spent an hour last night just fixing our","drinks",stove"
